scope_label,platform,scenario,source,source_kind,seed,arm,eval_id,trigger_id,theta_hash,theta_path,stage,label,J,orig_label,orig_rho_mean,orig_rho_std,orig_rho_min,orig_rho_max,terminal_label,terminal_rho_mean,terminal_rho_std,terminal_rho_min,terminal_rho_max,terminal_peak_11_13_mean,terminal_peak_11_13_std,peak_5_7_mean,peak_5_7_std,peak_7_9_mean,peak_7_9_std,peak_9_11_mean,peak_9_11_std,peak_11_13_mean,peak_11_13_std,orig_metric_window,orig_metric_property,terminal_metric_window,terminal_metric,terminal_threshold_mps,terminal_peak_11_13_min,terminal_peak_11_13_max,query_ids,parsed_log_paths,peak_5_7_min,peak_5_7_max,peak_7_9_min,peak_7_9_max,peak_9_11_min,peak_9_11_max,peak_11_13_min,peak_11_13_max,spotcheck_sample_seed
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,2,A,14,,3862568e88965b05,runs/direction_a_px4_position_seed2_v0/thetas/A_00014_3862568e88965b05.npy,uniform_random,sample0015,5,robust_safe,0.3945366028459299,0.0539291681997365,0.3310153088831979,0.4626678108208126,robust_safe,0.9078122618616293,0.008361489603175967,0.8951740475377246,0.9161422400789924,0.09218773813837064,0.008361489603175965,0.6054633971540702,0.05392916819973654,0.0459395360538078,0.009250928203137124,0.0878727981553797,0.01094532912543482,0.09218773813837064,0.008361489603175965,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.08385775992100761,0.10482595246227541,3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat0;3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat1;3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat2;3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat3;3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat4,runs/direction_a_px4_position_seed2_v0/queries/3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/3862568e88965b05_px4_position_2_direction_a_A_uniform_random_00014_sample0015_repeat4/parsed_log.csv,0.5373321891791873,0.668984691116802,0.03593228818402377,0.06043208706637233,0.07796997629027151,0.10476972337783344,0.08385775992100761,0.10482595246227541,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,2,C,193,,e7d3118370f33113,runs/direction_a_px4_position_seed2_v0/thetas/C_00193_e7d3118370f33113.npy,amplitude_bisection,env0150_deg270_w02_d04_iter00_a0p5000,5,robust_safe,0.9283103825494776,0.010872641924529,0.9110819429925364,0.9399776052537748,robust_safe,0.9621993166935582,0.0117106499420494,0.9531427977569215,0.9798904599463362,0.03780068330644176,0.011710649942049399,0.07168961745052226,0.010872641924529063,0.05223775048056094,0.008962112872659432,0.04857585139531608,0.011253713161123884,0.03780068330644176,0.011710649942049399,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.02010954005366383,0.046857202243078565,e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat0;e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat1;e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat2;e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat3;e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat4,runs/direction_a_px4_position_seed2_v0/queries/e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/e7d3118370f33113_px4_position_2_direction_a_C_amplitude_bisection_00193_env0150_deg270_w02_d04_iter00_a0p5000_repeat4/parsed_log.csv,0.060022394746225,0.08891805700746357,0.041924624115999,0.06574142686585618,0.03204333471021849,0.06123087965627667,0.02010954005366383,0.046857202243078565,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,1,A,5,,50a64022bbfeca54,runs/direction_a_px4_position_seed1_v0/thetas/A_00005_50a64022bbfeca54.npy,uniform_random,sample0006,5,robust_safe,0.9006292245175299,0.0132985430858735,0.8828525916727251,0.9181641721273548,robust_safe,0.9457360921465104,0.01666195188403043,0.9220950573067617,0.9630030547724451,0.054263907853489425,0.016661951884030444,0.09937077548247004,0.013298543085873527,0.05872551193887003,0.009108268778377336,0.05267575152685179,0.012220144618305246,0.054263907853489425,0.016661951884030444,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.03699694522755487,0.07790494269323829,50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat0;50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat1;50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat2;50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat3;50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat4,runs/direction_a_px4_position_seed1_v0/queries/50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed1_v0/queries/50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed1_v0/queries/50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed1_v0/queries/50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed1_v0/queries/50a64022bbfeca54_px4_position_1_direction_a_A_uniform_random_00005_sample0006_repeat4/parsed_log.csv,0.08183582787264505,0.1171474083272748,0.049578655202847245,0.0686203970532708,0.03891057825510818,0.0693824248203279,0.03699694522755487,0.07790494269323829,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,2,B,135,,829f406af83b9c16,runs/direction_a_px4_position_seed2_v0/thetas/B_00135_829f406af83b9c16.npy,scale_bisection,rand0008_iter04_a0p5312,5,robust_safe,0.1458062127105886,0.0418197210643127,0.1049457518153862,0.1992751146322823,robust_safe,0.9481287955759712,0.013332108725289395,0.9263484578141409,0.961280840030467,0.05187120442402886,0.013332108725289381,0.8541937872894113,0.04181972106431275,0.04916926205900979,0.007639241572749089,0.05168952236407413,0.011158222696692028,0.05187120442402886,0.013332108725289381,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.038719159969533,0.07365154218585908,829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat0;829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat1;829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat2;829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat3;829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat4,runs/direction_a_px4_position_seed2_v0/queries/829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/829f406af83b9c16_px4_position_2_direction_a_B_scale_bisection_00135_rand0008_iter04_a0p5312_repeat4/parsed_log.csv,0.8007248853677177,0.8950542481846138,0.03619621620193146,0.05654875906372285,0.0383546996259196,0.06811307192179386,0.038719159969533,0.07365154218585908,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,2,A,6,,2bf9209ebbd91daa,runs/direction_a_px4_position_seed2_v0/thetas/A_00006_2bf9209ebbd91daa.npy,uniform_random,sample0007,5,robust_safe,0.3561514535620155,0.02664666761972,0.3233149399067158,0.3962127103453493,robust_safe,0.9613315525695656,0.013405629455100156,0.9479279330830085,0.9806355836253263,0.038668447430434426,0.013405629455100153,0.6438485464379844,0.026646667619719958,0.041830573425682256,0.019488901663193496,0.030013890486905993,0.008280222765552257,0.038668447430434426,0.013405629455100153,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.01936441637467373,0.05207206691699153,2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat0;2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat1;2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat2;2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat3;2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat4,runs/direction_a_px4_position_seed2_v0/queries/2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/2bf9209ebbd91daa_px4_position_2_direction_a_A_uniform_random_00006_sample0007_repeat4/parsed_log.csv,0.6037872896546507,0.6766850600932841,0.01738851030388495,0.06917791025769823,0.02013752177739286,0.03911899180005075,0.01936441637467373,0.05207206691699153,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,0,C,223,,c2c1805e24e3c0cb,runs/direction_a_px4_position_seed0_v0/thetas/C_00223_c2c1805e24e3c0cb.npy,envelope_endpoint,env0098_deg090_w03_d03,5,robust_safe,0.4681607090626193,0.0335360778322215,0.41419196309982,0.5009062617738609,robust_safe,0.9591902338273213,0.009962279566408324,0.9457122598104395,0.9730645363901065,0.04080976617267876,0.009962279566408334,0.5318392909373806,0.033536077832221574,0.06376877552423886,0.006748644232953393,0.06650338944592303,0.006143360544207131,0.04080976617267876,0.009962279566408334,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.026935463609893476,0.054287740189560486,c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat0;c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat1;c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat2;c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat3;c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat4,runs/direction_a_px4_position_seed0_v0/queries/c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/c2c1805e24e3c0cb_px4_position_0_direction_a_C_envelope_endpoint_00223_env0098_deg090_w03_d03_repeat4/parsed_log.csv,0.4990937382261391,0.58580803690018,0.058636791813708906,0.07558915209630775,0.06161423908589961,0.07675066295751698,0.026935463609893476,0.054287740189560486,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,0,B,84,,ed9c9e3a32ce32f7,runs/direction_a_px4_position_seed0_v0/thetas/B_00084_ed9c9e3a32ce32f7.npy,scale_bisection,rand0001_iter02_a0p6250,5,robust_safe,0.1685570612412162,0.0584994696082282,0.1150830662570154,0.2602151441875092,robust_safe,0.9571388316297605,0.011397444120342062,0.9421952856927105,0.9709926993470822,0.042861168370239476,0.011397444120342062,0.8314429387587838,0.05849946960822821,0.10120051964323636,0.03399271969521147,0.05325009259121375,0.008117898578684345,0.042861168370239476,0.011397444120342062,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.029007300652917803,0.057804714307289506,ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat0;ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat1;ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat2;ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat3;ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat4,runs/direction_a_px4_position_seed0_v0/queries/ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/ed9c9e3a32ce32f7_px4_position_0_direction_a_B_scale_bisection_00084_rand0001_iter02_a0p6250_repeat4/parsed_log.csv,0.7397848558124908,0.8849169337429845,0.06269003013360737,0.14847235058863373,0.04260690677907228,0.06437446731122086,0.029007300652917803,0.057804714307289506,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,2,A,66,,90e548c888f6d1ea,runs/direction_a_px4_position_seed2_v0/thetas/A_00066_90e548c888f6d1ea.npy,uniform_random,sample0067,5,robust_safe,0.5234862603176137,0.0165371092902795,0.5021189934803112,0.5408932252900684,robust_safe,0.9289321614828806,0.010104777374528251,0.9141228731233119,0.942190623651609,0.07106783851711938,0.010104777374528221,0.4765137396823862,0.016537109290279576,0.08675210673372676,0.01243024368673796,0.0794381754208234,0.014835592366821799,0.07106783851711938,0.010104777374528221,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.05780937634839104,0.0858771268766881,90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat0;90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat1;90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat2;90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat3;90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat4,runs/direction_a_px4_position_seed2_v0/queries/90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed2_v0/queries/90e548c888f6d1ea_px4_position_2_direction_a_A_uniform_random_00066_sample0067_repeat4/parsed_log.csv,0.45910677470993144,0.4978810065196887,0.07208125469674795,0.10599027607643124,0.06855320316660488,0.10447026749404247,0.05780937634839104,0.0858771268766881,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,0,A,51,,be275f55627378e3,runs/direction_a_px4_position_seed0_v0/thetas/A_00051_be275f55627378e3.npy,uniform_random,sample0052,5,robust_safe,0.4163427240072456,0.0493707869490243,0.3590189173371216,0.4877935286696743,robust_safe,0.9297700744904436,0.019169971021879756,0.8995133202509513,0.949866154418595,0.07022992550955634,0.019169971021879735,0.5836572759927543,0.049370786949024296,0.048015690858758855,0.009243156584284769,0.05563420113073474,0.015178285371838289,0.07022992550955634,0.019169971021879735,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.050133845581405,0.10048667974904862,be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat0;be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat1;be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat2;be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat3;be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat4,runs/direction_a_px4_position_seed0_v0/queries/be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/be275f55627378e3_px4_position_0_direction_a_A_uniform_random_00051_sample0052_repeat4/parsed_log.csv,0.5122064713303257,0.6409810826628782,0.03245620895869655,0.05464489104598134,0.034809570544019536,0.07711131509680137,0.050133845581405,0.10048667974904862,20260608
exploratory / verification,PX4,px4_position,direction_a,direction_a_three_arm,0,C,193,,a61b9599cff13aad,runs/direction_a_px4_position_seed0_v0/thetas/C_00193_a61b9599cff13aad.npy,amplitude_bisection,env0164_deg180_w06_d04_iter02_a0p3750,5,robust_safe,0.3729001382225347,0.0316095535918319,0.3369358733365629,0.4182324561187539,robust_safe,0.9509608343759991,0.012299022332568422,0.9339783399106593,0.9632763511058198,0.04903916562400088,0.01229902233256844,0.6270998617774652,0.03160955359183194,0.04340273417204331,0.008486623872750404,0.052114491385550424,0.017447229297446232,0.04903916562400088,0.01229902233256844,"[5,13]s tail from t_neutral_s to log end",post_neutral_xy_velocity,"[11,13]s absolute","per-repeat peak |v_xy|, rho = 1.0 - peak, J=5 mean/std, 2sigma label",1.0,0.036723648894180214,0.06602166008934074,a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat0;a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat1;a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat2;a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat3;a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat4,runs/direction_a_px4_position_seed0_v0/queries/a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat0/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat1/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat2/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat3/parsed_log.csv;runs/direction_a_px4_position_seed0_v0/queries/a61b9599cff13aad_px4_position_0_direction_a_C_amplitude_bisection_00193_env0164_deg180_w06_d04_iter02_a0p3750_repeat4/parsed_log.csv,0.5817675438812461,0.6630641266634371,0.035389432374826564,0.0542119212473475,0.03580042793992294,0.07173006358272131,0.036723648894180214,0.06602166008934074,20260608
